Target,Model,AUC,EF%
akt1,Logistic Regression,0.9204,2.0
akt1,Random Forest,0.9887,2.0
akt1,SVM (RBF Kernel),0.9513,2.0
akt1,XGBoost,0.9856,2.0
ampc,Logistic Regression,0.68,2.0
ampc,Random Forest,0.83,2.0
ampc,SVM (RBF Kernel),0.54,1.333
ampc,XGBoost,0.81,2.0
cp3a4,Logistic Regression,0.7085,1.8
cp3a4,Random Forest,0.8339,2.0
cp3a4,SVM (RBF Kernel),0.7772,1.6
cp3a4,XGBoost,0.814,1.8
cxcr4,Logistic Regression,0.8906,2.0
cxcr4,Random Forest,0.9531,2.0
cxcr4,SVM (RBF Kernel),0.9688,2.0
cxcr4,XGBoost,0.8906,2.0
gcr,Logistic Regression,0.8617,1.733
gcr,Random Forest,0.9438,2.0
gcr,SVM (RBF Kernel),0.8406,1.733
gcr,XGBoost,0.9401,2.0
hivpr,Logistic Regression,0.8689,1.75
hivpr,Random Forest,0.9446,1.938
hivpr,SVM (RBF Kernel),0.8921,2.0
hivpr,XGBoost,0.9513,2.0
hivrt,Logistic Regression,0.7506,1.3
hivrt,Random Forest,0.894,2.0
hivrt,SVM (RBF Kernel),0.7937,1.6
hivrt,XGBoost,0.9438,2.0
kif11,Logistic Regression,0.7934,1.714
kif11,Random Forest,0.9089,2.0
kif11,SVM (RBF Kernel),0.8802,1.714
kif11,XGBoost,0.9184,2.0
